1.7,0.5,2.5,0.0,0.0,3.0,0,0,0,2,12,59,27,0,0,
1.7,0.5,2.5,0.0,0.0,3.0,0,0,0,0,1,1,3,0,0,
1.7,0.5,2.5,0.0,0.0,3.0,0,0,0,1,2,2,0,0,0,
1.7,0.5,2.5,0.0,0.0,3.0,0,0,0,0,1,3,1,0,0,
1.7,0.5,2.5,0.0,0.0,3.0,0,0,0,0,1,3,1,0,0,
1.7,0.5,2.5,0.0,0.0,3.0,0,0,0,1,4,0,0,0,0,
2.0,0.7,1.0,1.0,1.0,1.0,0,0,0,0,0,3,2,0,0,
2.0,0.7,1.0,1.0,1.0,1.0,0,0,0,0,2,2,1,0,0,
1.7,0.5,2.5,0.0,0.0,3.0,0,0,0,0,1,4,0,0,0,
1.7,0.5,2.5,0.0,0.0,3.0,0,0,0,0,1,2,2,0,0,
1.7,0.5,2.5,0.0,0.0,3.0,0,0,0,0,0,3,2,0,0,
1.7,0.5,2.5,0.0,0.0,3.0,0,0,0,0,1,1,3,0,0,
1.7,0.5,2.5,5.0,0.0,3.0,0,0,0,0,0,3,2,0,0,
1.7,0.5,2.5,15.0,0.0,3.0,0,0,0,1,1,3,0,0,0,
1.7,0.5,2.5,2.0,0.0,3.0,0,0,1,0,2,1,1,0,0,
1.7,0.5,2.5,1.0,0.0,3.0,0,0,0,0,2,3,0,0,0,
1.7,0.5,2.5,1.0,0.0,3.0,0,0,0,0,0,2,3,0,0,
1.7,0.5,2.5,5.0,0.0,3.0,0,0,0,0,0,2,3,0,0,
1.7,0.5,2.5,5.0,0.0,3.0,0,0,0,0,0,2,3,0,0,
1.7,0.5,2.5,5.0,0.0,3.0,0,0,0,0,1,2,1,1,0,
1.7,0.5,2.5,5.0,0.0,3.0,0,0,0,0,2,13,5,0,0,
