Optimal Field,Multiple,Empty Fields,Heighest in the Edge,Left Column,Lost Situation,32,64,128,256,512,1024,2048,4096,8192
1.6,0.70000005,2.5,0.0,0.0,2.0,0,0,0,1,3,11,5,0,0,
1.6,0.70000005,2.5,0.0,0.0,2.5,0,0,0,0,7,7,6,0,0,
1.6,0.70000005,2.5,0.0,0.0,3.0,0,0,0,0,5,7,8,0,0,
1.6,0.70000005,3.0,0.0,0.0,1.0,0,0,0,0,3,11,6,0,0,
1.6,0.70000005,3.0,0.0,0.0,1.5,0,0,0,0,6,11,3,0,0,
1.6,0.70000005,3.0,0.0,0.0,2.0,0,0,0,0,3,12,5,0,0,
1.6,0.70000005,3.0,0.0,0.0,2.5,0,0,0,1,2,10,7,0,0,
1.6,0.70000005,3.0,0.0,0.0,3.0,0,0,0,0,5,8,7,0,0,
1.7,0.4,1.5,0.0,0.0,1.0,0,0,0,0,7,10,3,0,0,
1.7,0.4,1.5,0.0,0.0,1.5,0,0,0,0,4,13,3,0,0,
1.7,0.4,1.5,0.0,0.0,2.0,0,0,0,1,3,8,8,0,0,
1.7,0.4,1.5,0.0,0.0,2.5,0,0,0,0,3,12,4,1,0,
1.7,0.4,1.5,0.0,0.0,3.0,0,0,0,0,5,10,5,0,0,
1.7,0.4,2.0,0.0,0.0,1.0,0,0,0,0,4,12,4,0,0,
1.7,0.4,2.0,0.0,0.0,1.5,0,0,0,1,4,9,6,0,0,
1.7,0.4,2.0,0.0,0.0,2.0,0,0,0,0,4,12,4,0,0,
1.7,0.4,2.0,0.0,0.0,2.5,0,0,0,0,4,9,7,0,0,
1.7,0.4,2.0,0.0,0.0,3.0,0,0,0,0,5,9,6,0,0,
1.7,0.4,2.5,0.0,0.0,1.0,0,0,0,0,3,8,9,0,0,
1.7,0.4,2.5,0.0,0.0,1.5,0,0,0,0,5,9,6,0,0,
1.7,0.4,2.5,0.0,0.0,2.0,0,0,0,0,0,11,9,0,0,
1.7,0.4,2.5,0.0,0.0,2.5,0,0,0,2,9,7,2,0,0,
1.7,0.4,2.5,0.0,0.0,3.0,0,0,0,0,3,7,10,0,0,
1.7,0.4,3.0,0.0,0.0,1.0,0,0,0,0,3,13,4,0,0,
1.7,0.4,3.0,0.0,0.0,1.5,0,0,0,0,3,7,10,0,0,
1.7,0.4,3.0,0.0,0.0,2.0,0,0,0,1,4,8,7,0,0,
1.7,0.4,3.0,0.0,0.0,2.5,0,0,0,0,2,9,9,0,0,
1.7,0.4,3.0,0.0,0.0,3.0,0,0,0,0,7,7,6,0,0,
1.7,0.5,1.5,0.0,0.0,1.0,0,0,0,0,4,9,7,0,0,
1.7,0.5,1.5,0.0,0.0,1.5,0,0,0,1,5,11,3,0,0,
1.7,0.5,1.5,0.0,0.0,2.0,0,0,0,0,2,13,5,0,0,
1.7,0.5,1.5,0.0,0.0,2.5,0,0,0,0,6,11,3,0,0,
1.7,0.5,1.5,0.0,0.0,3.0,0,0,0,1,6,9,4,0,0,
1.7,0.5,2.0,0.0,0.0,1.0,0,0,0,0,4,11,5,0,0,
1.7,0.5,2.0,0.0,0.0,1.5,0,0,0,0,3,14,3,0,0,
1.7,0.5,2.0,0.0,0.0,2.0,0,0,0,0,8,8,4,0,0,
1.7,0.5,2.0,0.0,0.0,2.5,0,0,0,0,3,10,7,0,0,
1.7,0.5,2.0,0.0,0.0,3.0,0,0,0,0,1,9,9,1,0,
1.7,0.5,2.5,0.0,0.0,1.0,0,0,0,0,3,12,5,0,0,
1.7,0.5,2.5,0.0,0.0,1.5,0,0,0,0,3,14,3,0,0,
1.7,0.5,2.5,0.0,0.0,2.0,0,0,0,0,2,8,10,0,0,
1.7,0.5,2.5,0.0,0.0,2.5,0,0,0,0,5,12,3,0,0,
1.7,0.5,2.5,0.0,0.0,3.0,0,0,1,0,5,7,7,0,0,
1.7,0.5,3.0,0.0,0.0,1.0,0,0,0,0,5,10,5,0,0,
1.7,0.5,3.0,0.0,0.0,1.5,0,0,0,1,4,10,5,0,0,
1.7,0.5,3.0,0.0,0.0,2.0,0,0,0,1,2,12,5,0,0,
1.7,0.5,3.0,0.0,0.0,2.5,0,0,0,0,6,9,5,0,0,
1.7,0.5,3.0,0.0,0.0,3.0,0,0,0,1,3,8,8,0,0,
1.7,0.6,1.5,0.0,0.0,1.0,0,0,0,0,3,10,7,0,0,
1.7,0.6,1.5,0.0,0.0,1.5,0,0,0,3,3,9,5,0,0,
1.7,0.6,1.5,0.0,0.0,2.0,0,0,0,0,3,13,4,0,0,
1.7,0.6,1.5,0.0,0.0,2.5,0,0,0,0,3,12,5,0,0,
1.7,0.6,1.5,0.0,0.0,3.0,0,0,0,0,3,13,4,0,0,
1.7,0.6,2.0,0.0,0.0,1.0,0,0,0,0,4,11,5,0,0,
1.7,0.6,2.0,0.0,0.0,1.5,0,0,0,0,5,6,8,1,0,
1.7,0.6,2.0,0.0,0.0,2.0,0,0,0,0,4,8,8,0,0,
1.7,0.6,2.0,0.0,0.0,2.5,0,0,0,0,4,11,5,0,0,
1.7,0.6,2.0,0.0,0.0,3.0,0,0,0,0,2,12,6,0,0,
1.7,0.6,2.5,0.0,0.0,1.0,0,0,0,0,3,9,7,1,0,
1.7,0.6,2.5,0.0,0.0,1.5,0,0,0,1,6,9,4,0,0,
1.7,0.6,2.5,0.0,0.0,2.0,0,0,0,0,3,12,5,0,0,
1.7,0.6,2.5,0.0,0.0,2.5,0,0,0,1,5,7,6,1,0,
1.7,0.6,2.5,0.0,0.0,3.0,0,0,0,0,3,9,8,0,0,
1.7,0.6,3.0,0.0,0.0,1.0,0,0,0,0,3,11,6,0,0,
1.7,0.6,3.0,0.0,0.0,1.5,0,0,0,0,3,15,2,0,0,
1.7,0.6,3.0,0.0,0.0,2.0,0,0,0,1,4,8,7,0,0,
1.7,0.6,3.0,0.0,0.0,2.5,0,0,0,0,6,11,3,0,0,
1.7,0.6,3.0,0.0,0.0,3.0,0,0,0,0,5,10,5,0,0,
1.7,0.70000005,1.5,0.0,0.0,1.0,0,0,0,1,3,10,6,0,0,
1.7,0.70000005,1.5,0.0,0.0,1.5,0,0,0,1,5,10,4,0,0,
1.7,0.70000005,1.5,0.0,0.0,2.0,0,0,0,1,7,9,3,0,0,
1.7,0.70000005,1.5,0.0,0.0,2.5,0,0,0,0,4,13,3,0,0,
1.7,0.70000005,1.5,0.0,0.0,3.0,0,0,0,0,4,12,4,0,0,
1.7,0.70000005,2.0,0.0,0.0,1.0,0,0,0,1,2,13,4,0,0,
1.7,0.70000005,2.0,0.0,0.0,1.5,0,0,0,2,3,7,6,2,0,
1.7,0.70000005,2.0,0.0,0.0,2.0,0,0,0,1,3,8,8,0,0,
1.7,0.70000005,2.0,0.0,0.0,2.5,0,0,0,3,4,7,6,0,0,
1.7,0.70000005,2.0,0.0,0.0,3.0,0,0,0,0,8,7,5,0,0,
1.7,0.70000005,2.5,0.0,0.0,1.0,0,0,0,0,4,10,6,0,0,
1.7,0.70000005,2.5,0.0,0.0,1.5,0,0,0,1,5,9,5,0,0,
1.7,0.70000005,2.5,0.0,0.0,2.0,0,0,0,0,4,11,5,0,0,
1.7,0.70000005,2.5,0.0,0.0,2.5,0,0,0,0,3,6,10,1,0,
1.7,0.70000005,2.5,0.0,0.0,3.0,0,0,0,0,4,9,6,1,0,
1.7,0.70000005,3.0,0.0,0.0,1.0,0,0,0,0,4,12,4,0,0,
1.7,0.70000005,3.0,0.0,0.0,1.5,0,0,0,0,3,12,5,0,0,
1.7,0.70000005,3.0,0.0,0.0,2.0,0,0,0,0,6,10,4,0,0,
1.7,0.70000005,3.0,0.0,0.0,2.5,0,0,0,1,4,13,2,0,0,
1.7,0.70000005,3.0,0.0,0.0,3.0,0,0,0,0,4,11,5,0,0,
1.8000001,0.4,1.5,0.0,0.0,1.0,0,0,0,1,4,9,6,0,0,
1.8000001,0.4,1.5,0.0,0.0,1.5,0,0,0,1,5,9,5,0,0,
1.8000001,0.4,1.5,0.0,0.0,2.0,0,0,0,2,1,12,5,0,0,
1.8000001,0.4,1.5,0.0,0.0,2.5,0,0,0,1,3,9,7,0,0,
1.8000001,0.4,1.5,0.0,0.0,3.0,0,0,0,0,4,12,4,0,0,
1.8000001,0.4,2.0,0.0,0.0,1.0,0,0,0,0,4,10,6,0,0,
1.8000001,0.4,2.0,0.0,0.0,1.5,0,0,0,0,4,9,6,1,0,
1.8000001,0.4,2.0,0.0,0.0,2.0,0,0,0,0,3,11,6,0,0,
1.8000001,0.4,2.0,0.0,0.0,2.5,0,0,0,0,5,11,4,0,0,
1.8000001,0.4,2.0,0.0,0.0,3.0,0,0,0,0,4,10,6,0,0,
1.8000001,0.4,2.5,0.0,0.0,1.0,0,0,0,1,3,8,7,1,0,
1.8000001,0.4,2.5,0.0,0.0,1.5,0,0,0,0,5,10,5,0,0,
1.8000001,0.4,2.5,0.0,0.0,2.0,0,0,0,0,4,12,4,0,0,
1.8000001,0.4,2.5,0.0,0.0,2.5,0,0,0,0,4,11,5,0,0,
1.8000001,0.4,2.5,0.0,0.0,3.0,0,0,0,2,2,9,7,0,0,
1.8000001,0.4,3.0,0.0,0.0,1.0,0,0,0,0,2,11,7,0,0,
1.8000001,0.4,3.0,0.0,0.0,1.5,0,0,0,0,1,16,3,0,0,
1.8000001,0.4,3.0,0.0,0.0,2.0,0,0,0,1,1,12,6,0,0,
1.8000001,0.4,3.0,0.0,0.0,2.5,0,0,0,0,4,8,8,0,0,
1.8000001,0.4,3.0,0.0,0.0,3.0,0,0,0,1,0,9,10,0,0,
1.8000001,0.5,1.5,0.0,0.0,1.0,0,0,0,2,5,8,5,0,0,
1.8000001,0.5,1.5,0.0,0.0,1.5,0,0,0,1,2,12,5,0,0,
1.8000001,0.5,1.5,0.0,0.0,2.0,0,0,0,1,2,13,4,0,0,
1.8000001,0.5,1.5,0.0,0.0,2.5,0,0,0,0,2,14,4,0,0,
1.8000001,0.5,1.5,0.0,0.0,3.0,0,0,0,0,1,10,9,0,0,
1.8000001,0.5,2.0,0.0,0.0,1.0,0,0,0,0,3,14,3,0,0,
1.8000001,0.5,2.0,0.0,0.0,1.5,0,0,0,1,2,10,7,0,0,
1.8000001,0.5,2.0,0.0,0.0,2.0,0,0,0,0,2,9,9,0,0,
1.8000001,0.5,2.0,0.0,0.0,2.5,0,0,0,0,6,6,8,0,0,
1.8000001,0.5,2.0,0.0,0.0,3.0,0,0,0,1,4,9,6,0,0,
1.8000001,0.5,2.5,0.0,0.0,1.0,0,0,0,0,5,12,3,0,0,
1.8000001,0.5,2.5,0.0,0.0,1.5,0,0,0,0,4,11,5,0,0,
1.8000001,0.5,2.5,0.0,0.0,2.0,0,0,0,0,1,12,6,1,0,
1.8000001,0.5,2.5,0.0,0.0,2.5,0,0,0,1,4,10,5,0,0,
1.8000001,0.5,2.5,0.0,0.0,3.0,0,0,0,0,3,12,5,0,0,
1.8000001,0.5,3.0,0.0,0.0,1.0,0,0,0,1,0,12,6,1,0,
1.8000001,0.5,3.0,0.0,0.0,1.5,0,0,0,1,1,11,7,0,0,
1.8000001,0.5,3.0,0.0,0.0,2.0,0,0,0,0,2,16,2,0,0,
1.8000001,0.5,3.0,0.0,0.0,2.5,0,0,0,0,5,11,4,0,0,
1.8000001,0.5,3.0,0.0,0.0,3.0,0,0,0,2,2,12,4,0,0,
1.8000001,0.6,1.5,0.0,0.0,1.0,0,0,0,1,1,16,2,0,0,
1.8000001,0.6,1.5,0.0,0.0,1.5,0,0,0,2,6,6,6,0,0,
1.8000001,0.6,1.5,0.0,0.0,2.0,0,0,0,0,2,11,7,0,0,
1.8000001,0.6,1.5,0.0,0.0,2.5,0,0,0,0,6,9,5,0,0,
1.8000001,0.6,1.5,0.0,0.0,3.0,0,0,0,0,3,12,4,1,0,
1.8000001,0.6,2.0,0.0,0.0,1.0,0,0,0,0,4,9,7,0,0,
1.8000001,0.6,2.0,0.0,0.0,1.5,0,0,0,0,4,13,3,0,0,
1.8000001,0.6,2.0,0.0,0.0,2.0,0,0,1,0,2,13,4,0,0,
1.8000001,0.6,2.0,0.0,0.0,2.5,0,0,0,2,3,9,6,0,0,
1.8000001,0.6,2.0,0.0,0.0,3.0,0,0,0,2,2,11,5,0,0,
1.8000001,0.6,2.5,0.0,0.0,1.0,0,0,0,0,3,12,5,0,0,
1.8000001,0.6,2.5,0.0,0.0,1.5,0,0,0,0,3,10,6,1,0,
1.8000001,0.6,2.5,0.0,0.0,2.0,0,0,0,0,5,10,5,0,0,
1.8000001,0.6,2.5,0.0,0.0,2.5,0,0,0,0,5,6,6,3,0,
1.8000001,0.6,2.5,0.0,0.0,3.0,0,0,0,0,7,9,4,0,0,
1.8000001,0.6,3.0,0.0,0.0,1.0,0,0,0,0,3,9,8,0,0,
1.8000001,0.6,3.0,0.0,0.0,1.5,0,0,0,1,4,12,3,0,0,
1.8000001,0.6,3.0,0.0,0.0,2.0,0,0,1,0,5,8,6,0,0,
1.8000001,0.6,3.0,0.0,0.0,2.5,0,0,0,1,3,13,3,0,0,
1.8000001,0.6,3.0,0.0,0.0,3.0,0,0,0,0,3,9,8,0,0,
1.8000001,0.70000005,1.5,0.0,0.0,1.0,0,0,0,0,7,9,4,0,0,
1.8000001,0.70000005,1.5,0.0,0.0,1.5,0,0,0,2,6,10,2,0,0,
1.8000001,0.70000005,1.5,0.0,0.0,2.0,0,0,0,1,3,12,3,1,0,
1.8000001,0.70000005,1.5,0.0,0.0,2.5,0,0,0,0,4,11,5,0,0,
1.8000001,0.70000005,1.5,0.0,0.0,3.0,0,0,0,1,7,9,3,0,0,
1.8000001,0.70000005,2.0,0.0,0.0,1.0,0,0,0,1,1,15,2,1,0,
1.8000001,0.70000005,2.0,0.0,0.0,1.5,0,0,0,0,5,12,3,0,0,
1.8000001,0.70000005,2.0,0.0,0.0,2.0,0,0,0,0,4,6,10,0,0,
1.8000001,0.70000005,2.0,0.0,0.0,2.5,0,0,0,1,5,7,7,0,0,
1.8000001,0.70000005,2.0,0.0,0.0,3.0,0,0,0,1,2,12,5,0,0,
1.8000001,0.70000005,2.5,0.0,0.0,1.0,0,0,0,0,7,9,4,0,0,
1.8000001,0.70000005,2.5,0.0,0.0,1.5,0,0,0,1,5,10,4,0,0,
1.8000001,0.70000005,2.5,0.0,0.0,2.0,0,0,0,0,1,13,6,0,0,
1.8000001,0.70000005,2.5,0.0,0.0,2.5,0,0,0,0,4,9,7,0,0,
