Optimal Field,Multiple,Empty Fields,Heighest in the Edge,Left Column,Lost Situation,32,64,128,256,512,1024,2048,4096,8192
1.9000001,0.70000005,2.0,0.0,0.0,2.5,0,0,0,0,4,14,2,0,0,
1.9000001,0.70000005,2.0,0.0,0.0,3.0,0,0,0,0,5,11,4,0,0,
1.9000001,0.70000005,2.5,0.0,0.0,1.0,0,0,0,0,5,9,6,0,0,
1.9000001,0.70000005,2.5,0.0,0.0,1.5,0,0,0,2,2,8,8,0,0,
1.9000001,0.70000005,2.5,0.0,0.0,2.0,0,0,0,0,5,10,4,1,0,
1.9000001,0.70000005,2.5,0.0,0.0,2.5,0,0,0,0,3,12,3,2,0,
1.9000001,0.70000005,2.5,0.0,0.0,3.0,0,0,0,2,3,10,5,0,0,
1.9000001,0.70000005,3.0,0.0,0.0,1.0,0,0,0,1,4,7,8,0,0,
1.9000001,0.70000005,3.0,0.0,0.0,1.5,0,0,0,1,3,9,7,0,0,
1.9000001,0.70000005,3.0,0.0,0.0,2.0,0,0,0,1,3,11,5,0,0,
1.9000001,0.70000005,3.0,0.0,0.0,2.5,0,0,0,0,6,9,4,1,0,
1.9000001,0.70000005,3.0,0.0,0.0,3.0,0,0,0,0,6,10,4,0,0,
